# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 6440 -2.67725273e-05 4.94181470e-05 1.64120452e-16 0.00000000e+00 0
0 6480 -2.67725273e-05 4.85801962e-05 1.64120452e-16 0.00000000e+00 0
0 6520 -2.67725273e-05 4.77422454e-05 1.64120452e-16 0.00000000e+00 0
0 6560 -2.67725273e-05 4.69042947e-05 1.64120452e-16 0.00000000e+00 0
0 6600 -2.67725273e-05 4.60663439e-05 1.64120452e-16 0.00000000e+00 0
0 6640 -2.67725273e-05 4.52283931e-05 1.64120452e-16 0.00000000e+00 0
0 6680 -2.67725273e-05 4.43904423e-05 1.64120452e-16 0.00000000e+00 0
0 6720 -2.67725273e-05 4.35524916e-05 1.64120452e-16 0.00000000e+00 0
0 6760 -2.67725273e-05 4.27145408e-05 1.64120452e-16 0.00000000e+00 0
0 6800 -2.67725273e-05 4.18765900e-05 1.64120452e-16 0.00000000e+00 0
0 6840 -2.67725273e-05 4.10386392e-05 1.64120452e-16 0.00000000e+00 0
0 6880 -2.67725273e-05 4.02006884e-05 1.64120452e-16 0.00000000e+00 0
0 6920 -2.67725273e-05 3.93627377e-05 1.64120452e-16 0.00000000e+00 0
0 6960 -2.67725273e-05 3.85247869e-05 1.64120452e-16 0.00000000e+00 0
0 7000 -2.67725273e-05 3.76868361e-05 1.64120452e-16 0.00000000e+00 0
0 7040 -2.67725273e-05 3.68488853e-05 1.64120452e-16 0.00000000e+00 0
0 7080 -2.67725273e-05 3.60109346e-05 1.64120452e-16 0.00000000e+00 0
0 7120 -2.67725273e-05 3.51729838e-05 1.64120452e-16 0.00000000e+00 0
0 7160 -2.67725273e-05 3.43350330e-05 1.64120452e-16 0.00000000e+00 0
0 7200 -2.67725273e-05 3.34970822e-05 1.64120452e-16 0.00000000e+00 0
0 7240 -2.67725273e-05 3.26591315e-05 1.64120452e-16 0.00000000e+00 0
0 7280 -2.67725273e-05 3.18211807e-05 1.64120452e-16 0.00000000e+00 0
0 7320 -2.67725273e-05 3.09832299e-05 1.64120452e-16 0.00000000e+00 0
0 7360 -2.67725273e-05 3.01452783e-05 1.64120451e-16 1.65257093e+23 0
0 7400 -2.67725273e-05 2.93073252e-05 1.64120447e-16 2.70055061e+23 0
0 7440 -2.67725274e-05 2.84693723e-05 1.64120436e-16 4.35313821e+23 0
0 7480 -2.67725274e-05 2.76314196e-05 1.64120409e-16 6.94005036e+23 0
0 7520 -2.67725274e-05 2.67934670e-05 1.64120341e-16 1.08970066e+24 0
0 7560 -2.67725275e-05 2.59555149e-05 1.64120170e-16 1.68576751e+24 0
0 7600 -2.67725275e-05 2.51175632e-05 1.64119799e-16 2.57557988e+24 0
0 7640 -2.67725276e-05 2.42796122e-05 1.64118896e-16 3.87646599e+24 0
0 7680 -2.67725276e-05 2.34416623e-05 1.64116914e-16 5.75856362e+24 0
0 7720 -2.67725276e-05 2.26037137e-05 1.64112644e-16 8.43083274e+24 0
0 7760 -2.67725277e-05 2.17657670e-05 1.64103933e-16 1.21740891e+25 0
0 7800 -2.67725277e-05 2.09278226e-05 1.64084842e-16 1.73397737e+25 0
0 7840 -2.67725277e-05 2.00898762e-05 1.64048037e-16 2.43922279e+25 0
0 7880 -2.67725278e-05 1.92519256e-05 1.63971887e-16 3.37932735e+25 0
0 7920 -2.67725278e-05 1.84139698e-05 1.63831206e-16 4.61334569e+25 0
0 7960 -2.67725279e-05 1.75760115e-05 1.63564832e-16 6.21484039e+25 0
0 8000 -2.67725279e-05 1.67380614e-05 1.63075504e-16 8.26846304e+25 0
0 8040 -2.67725279e-05 1.59001195e-05 1.62282506e-16 1.08207475e+26 0
0 8080 -2.67725280e-05 1.50621696e-05 1.60888143e-16 1.40023980e+26 0
0 8120 -2.67725280e-05 1.42242125e-05 1.58504059e-16 1.78436542e+26 0
0 8160 -2.67725281e-05 1.33862645e-05 1.54686356e-16 2.24504123e+26 0
0 8200 -2.67725281e-05 1.25483058e-05 1.49201938e-16 2.78000324e+26 0
0 8240 -2.67725281e-05 1.17103624e-05 1.40239863e-16 3.40150718e+26 0
0 8280 -2.67725282e-05 1.08724549e-05 1.27661861e-16 4.09834386e+26 0
0 8320 -2.67725282e-05 1.00345271e-05 1.10683772e-16 4.87887850e+26 0
0 8360 -2.67725283e-05 9.19658178e-06 8.88201742e-17 5.71876938e+26 0
0 8400 -2.67725284e-05 8.35861384e-06 6.36536531e-17 6.61321228e+26 0
0 8440 -2.67725284e-05 7.52062056e-06 3.89952716e-17 7.54322219e+26 0
0 8480 -2.67725285e-05 6.68238893e-06 1.82922395e-17 8.47818318e+26 0
0 8520 -2.67725286e-05 5.84382003e-06 5.25103169e-18 9.41320615e+26 0
