# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-4.6750000e+01  0.0000000e+00  1.5002201e+00
-4.6250000e+01  0.0000000e+00  1.4995148e+00
-4.5750000e+01  0.0000000e+00  1.4996743e+00
-4.5250000e+01  0.0000000e+00  1.4996591e+00
-4.4750000e+01  0.0000000e+00  1.4999451e+00
-4.4250000e+01  0.0000000e+00  1.4997572e+00
-4.3750000e+01  0.0000000e+00  1.4997245e+00
-4.3250000e+01  0.0000000e+00  1.4998999e+00
-4.2750000e+01  0.0000000e+00  1.4995318e+00
-4.2250000e+01  0.0000000e+00  1.4997813e+00
-4.1750000e+01  0.0000000e+00  1.4997822e+00
-4.1250000e+01  0.0000000e+00  1.5000847e+00
-4.0750000e+01  0.0000000e+00  1.4997154e+00
-4.0250000e+01  0.0000000e+00  1.4996763e+00
-3.9750000e+01  0.0000000e+00  1.4995717e+00
-3.9250000e+01  0.0000000e+00  1.4998769e+00
-3.8750000e+01  0.0000000e+00  1.4997875e+00
-3.8250000e+01  0.0000000e+00  1.4996934e+00
-3.7750000e+01  0.0000000e+00  1.4997914e+00
-3.7250000e+01  0.0000000e+00  1.4995247e+00
-3.6750000e+01  0.0000000e+00  1.5002623e+00
-3.6250000e+01  0.0000000e+00  1.4995054e+00
-3.5750000e+01  0.0000000e+00  1.4995875e+00
-3.5250000e+01  0.0000000e+00  1.4998903e+00
-3.4750000e+01  0.0000000e+00  1.4997958e+00
-3.4250000e+01  0.0000000e+00  1.4995953e+00
-3.3750000e+01  0.0000000e+00  1.5000090e+00
-3.3250000e+01  0.0000000e+00  1.4999115e+00
-3.2750000e+01  0.0000000e+00  1.4995929e+00
-3.2250000e+01  0.0000000e+00  1.4997129e+00
-3.1750000e+01  0.0000000e+00  1.4995255e+00
-3.1250000e+01  0.0000000e+00  1.5000151e+00
-3.0750000e+01  0.0000000e+00  1.4995293e+00
-3.0250000e+01  0.0000000e+00  1.5000504e+00
-2.9750000e+01  0.0000000e+00  1.4996657e+00
-2.9250000e+01  0.0000000e+00  1.4997817e+00
-2.8750000e+01  0.0000000e+00  1.4999416e+00
-2.8250000e+01  0.0000000e+00  1.4992949e+00
-2.7750000e+01  0.0000000e+00  1.4998938e+00
-2.7250000e+01  0.0000000e+00  1.4998424e+00
-2.6750000e+01  0.0000000e+00  1.4998229e+00
-2.6250000e+01  0.0000000e+00  1.4996669e+00
